IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
123,6.58,5,0,7,8,2,1
111,8.76,7,0,3,1,2,1
86,8.15,7,0,8,9,4,1
121,8.07,5,1,1,3,3,1
78,9.17,7,1,10,10,2,1
112,9.01,3,1,1,9,4,1
104,8.15,7,0,9,8,4,1
115,9.56,5,0,4,6,3,1
113,9.38,3,0,2,10,3,1
104,8.91,5,0,1,9,4,1
114,8.73,2,1,7,6,2,1
112,8.1,4,0,2,8,1,1
123,9.11,8,0,2,9,0,1
99,8.5,2,0,10,10,3,1
112,6.04,5,0,3,9,3,1
101,9.44,2,0,5,9,4,1
104,9.39,10,1,3,10,4,1
78,8.41,7,0,8,10,2,1
104,9.26,10,0,10,9,5,1
98,9.57,9,0,5,9,5,1
100,8.23,8,1,2,8,2,1
136,9.09,5,0,7,8,3,1
132,9.6,5,0,9,1,3,1
101,9.07,2,0,5,10,4,1
88,9.5,6,0,10,9,3,1
119,8.28,5,0,7,5,5,1
112,6.09,10,1,4,10,5,1
128,8.52,3,1,0,9,0,1
140,9.11,2,0,4,3,5,1
116,8.5,6,1,9,10,3,1
115,9.52,2,0,1,5,5,1
114,8.97,5,1,2,9,3,1
109,9.21,7,1,8,9,5,1
134,10.0,1,1,1,5,3,1
116,9.69,9,0,10,4,2,1
100,9.04,4,0,2,10,2,1
69,9.06,3,0,6,10,3,1
112,9.47,4,0,8,3,3,1
112,9.68,3,0,6,8,0,1
113,7.75,8,0,5,10,3,1
131,9.68,9,1,2,3,2,1
84,8.66,7,0,10,9,5,1
124,8.41,3,0,9,1,5,1
100,8.46,9,0,7,9,3,1
101,9.26,1,0,3,9,5,1
131,8.23,9,0,5,5,4,1
92,9.79,1,1,9,9,4,1
113,4.85,7,0,1,10,2,1
111,7.56,10,1,5,10,2,1
119,10.13,2,0,4,9,2,1
116,8.9,3,0,3,5,3,1
100,9.2,5,0,5,8,3,1
131,7.76,5,0,8,10,2,1
109,9.7,2,0,6,10,5,1
114,9.52,5,1,3,2,5,1
91,10.26,8,0,8,8,2,1
103,8.32,2,1,9,10,2,1
89,9.52,10,0,3,10,3,1
122,10.04,4,0,0,8,2,1
132,9.97,3,0,7,9,3,1
87,9.81,3,1,7,9,3,1
128,7.79,6,0,4,8,5,1
120,7.66,2,1,3,10,5,1
107,8.36,7,1,2,8,5,1
117,6.57,2,1,3,9,2,1
130,8.81,10,0,4,8,2,1
120,5.93,6,1,5,8,5,1
124,8.46,9,1,1,3,5,1
105,10.07,2,0,2,9,2,1
111,10.03,9,1,5,8,1,1
146,9.44,8,1,9,7,4,1
122,8.02,2,1,4,2,4,1
113,7.48,2,0,0,9,2,1
128,8.59,2,0,5,9,1,1
87,8.48,5,0,4,8,2,1
100,8.97,3,0,4,8,5,1
111,5.62,3,0,5,9,3,1
85,9.37,8,0,3,8,5,1
74,9.34,5,1,6,8,4,1
83,9.46,7,0,8,8,4,1
117,7.05,5,1,6,9,2,1
118,9.14,9,0,7,2,4,1
125,10.1,9,0,6,4,4,1
103,8.79,6,1,0,8,2,1
111,8.77,10,1,5,8,2,1
107,9.21,3,0,10,10,2,1
115,8.3,10,0,8,10,0,1
105,8.39,1,0,1,9,5,1
111,9.84,7,0,4,10,3,1
120,6.19,1,1,0,9,5,1
88,8.19,2,1,5,8,2,1
122,8.7,1,0,2,10,4,1
136,8.58,3,1,9,10,1,1
120,5.33,9,0,4,9,5,1
123,7.82,9,0,9,9,4,1
112,8.25,1,1,8,9,1,1
127,9.5,6,1,3,3,4,1
95,8.53,2,0,5,9,3,1
122,9.18,10,0,7,8,4,1
118,7.0,4,1,9,9,3,1
114,7.56,2,0,5,9,3,1
81,9.28,5,1,2,9,2,1
97,8.74,2,1,2,8,5,1
115,7.49,9,1,10,9,2,1
109,8.31,8,0,10,10,5,1
125,10.12,10,0,4,9,1,1
99,9.09,3,1,0,10,2,1
74,8.3,10,0,5,8,4,1
124,8.41,9,1,3,8,2,1
115,9.71,5,0,1,8,0,1
115,5.67,4,0,1,10,2,1
126,9.97,1,0,5,3,3,1
127,8.72,10,0,3,5,2,1
114,9.07,5,0,2,3,5,1
102,9.48,1,0,1,10,4,1
105,8.48,3,0,3,10,4,1
116,6.34,10,0,7,8,2,1
115,8.46,10,0,4,10,0,1
114,6.55,5,0,8,10,3,1
86,8.01,1,1,0,10,4,1
115,8.17,8,1,3,8,2,1
104,8.69,8,0,0,8,4,1
113,9.74,9,1,9,5,2,1
115,8.27,3,0,0,10,3,1
134,9.54,8,1,0,1,4,1
121,7.16,5,1,1,9,2,1
123,9.04,4,1,8,3,2,1
93,9.85,10,0,2,8,2,1
88,8.71,6,0,4,8,2,1
114,8.23,7,1,6,3,5,1
96,9.17,2,0,8,9,2,1
107,8.36,1,1,3,8,3,1
123,9.08,6,1,5,3,5,1
97,8.67,10,1,8,10,2,1
126,9.91,8,1,4,8,5,1
137,9.78,4,1,8,10,3,1
116,8.52,10,0,2,1,4,1
112,5.35,10,0,0,10,3,1
117,7.13,3,1,5,9,5,1
119,5.22,2,1,1,9,4,1
111,9.31,8,0,1,1,5,1
117,9.44,8,0,4,4,5,1
128,9.55,4,0,6,2,5,1
91,8.55,3,0,5,8,5,1
98,9.59,10,0,3,9,5,1
121,6.75,4,0,8,8,4,1
119,10.12,1,0,7,5,2,1
121,8.35,4,1,5,3,5,1
127,9.11,9,1,3,2,4,1
106,8.2,10,0,4,10,5,1
122,7.96,9,0,1,9,5,1
